Instance;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GENERIC_TABU_SEARCH
st70;0.30959234815655334;0.2750974279461485;0.297913493532123
rd100;0.9190188537944447;0.8339966138203939;0.870652639504635
dsj1000;46.0965708270669;46.51758203361974;46.51843445951288
ch150;2.7853719610156435;1.4839059078332149;2.735857125484582
d657;38.73004872871168;37.65295121164033;38.745905406547315
att48;0.0892132967710495;0.10036871582269669;0.10750728100538254
pr76;0.5633155703544617;0.38995617628097534;0.6537745743989944
pr107;0.8303312409308649;0.5131047156549269;0.9011842512315319
ulysses22;0.01858628180719191;0.016607069200085055;0.016856462724747195
pr124;1.267101518569454;0.5830690245474538;1.225216519448065
d493;27.078845777819232;22.18313916027546;23.219503387328118
ulysses16;0.011487522432881018;0.01195190029759561;0.011317868386545488
u724;43.84501726180315;43.40183459967375;44.125847235322
