Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GREEDY_DESCENT
C1_4_1;45.291371417045596;43.647021770477295;43.397874331474306;43.632448291778566
C1_2_7;12.271564996242523;7.593716180324554;11.467314445972443;5.075251531600952
C1_4_10;37.088920497894286;40.07935198545456;30.079380881786346;41.5477823138237
C1_4_2;37.13951183557511;39.10320762395859;41.172233855724336;36.7560964345932
C1_4_9;38.7416996717453;34.636879885196684;32.394141054153444;37.188768970966336
C1_2_5;32.62399717569351;18.292978167533875;32.5416320681572;2.5913117051124575
C1_2_4;34.70149289369583;5.687741827964783;35.79048483371734;3.55714236497879
C1_2_8;33.43914430141449;16.292127764225008;32.80079149007797;2.791036057472229
C1_4_5;31.96134741306305;38.877062702178954;37.54213026762009;34.63074864149094
C1_6_1;59.37877241373062;57.79168524742126;59.258967101573944;29.730392742156983
C1_2_3;11.936816763877868;8.875463426113129;11.753338372707367;8.167496526241303
C1_6_3;59.982817029953004;60.01840295791626;59.50646830797196;30.124590969085695
C1_2_10;10.030614602565766;9.068646764755249;10.646173429489135;8.432819652557374
C1_2_9;10.812497365474702;9.307827889919281;10.41834615468979;7.1693360090255736
C1_2_6;33.00988249778747;17.978408408164977;32.211299693584444;4.665864324569702
C1_4_6;32.01007511615753;38.261137413978574;29.342752957344054;36.05326726436615
C1_4_4;55.974906265735626;48.456319105625155;43.42411022186279;59.63282461166382
C1_2_2;9.937507796287537;6.407951581478119;8.874768364429475;5.790585386753082
C1_6_5;59.28286263942719;58.90484268665314;60.04782807826996;60.01163237094879
C1_2_1;32.878208339214325;15.18063771724701;33.17679727077484;3.552181160449982
C1_4_3;44.380762946605685;42.62908927202225;40.04737215042114;37.96190118789673
C1_6_2;60.00760769844055;59.95965801477432;60.36432200670242;30.089780616760255
C1_4_7;36.22576738595963;34.177328491210936;31.358338606357574;30.37194957733154
C1_6_4;60.00369999408722;59.59354834556579;59.4172664642334;59.63665969371796
C1_4_8;37.374501729011534;36.70230883359909;37.75056343078613;34.975310027599335
