Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING
HFVRP_4;3626.0;2834.0;44770.0;4430.0;3638.0;4420.0;3603.0;2793.0;2788.0;4420.0;4477.0
HFVRP_p14;8290.0;8370.0;88400.0;8170.0;8221.25;8800.0;8153.75;8220.0;8040.0;8800.0;8130.0
C1_2_6;2386.0;2172.0;2398.8;2371.0;2386.0;2478.5;2274.0;2258.0;2282.6;2475.0;2355.0
CVRP_p5;3447.0;3390.0;35090.0;3391.0;3447.0;3509.0;3383.0;3427.0;3377.0;3509.0;3428.0
CVRP_4;2998.0;2977.0;30750.0;3006.0;2998.0;3075.0;2981.0;3038.0;2997.0;3075.0;2972.0
C1_4_1;6424.4;6226.0;8551.9;6533.2;6424.0;8035.1;6459.2;6334.0;6303.0;8087.6;6532.7
C1_6_3;13077.4;12059.5;45533.7;12932.3;12871.2;21747.8;12689.5;12134.0;12508.5;25347.4;12450.2
C1_2_1;2386.0;2172.0;2399.4;2371.0;2386.0;2479.2;2274.0;2258.0;2282.6;2475.0;2355.0
CVRP_p3;3050.0;3081.0;3077.0;3047.0;3050.0;3124.0;3073.0;3129.0;3055.0;3124.0;3051.0
C1_6_2;12908.9;12034.7;45783.3;12919.9;12802.7;21116.5;12627.7;12134.0;12500.7;24092.6;12450.2
C1_4_4;6424.3;6226.0;7906.3;6533.9;6424.1;8154.4;6464.4;6334.0;6301.0;8088.7;6541.6
CVRP_100;251.0;247.0;236.0;243.0;251.0;245.33333333333334;243.0;264.0;242.0;245.88888888888889;251.0
C1_2_5;2386.0;2172.0;2399.2;2371.0;2386.2;2478.5;2274.0;2258.0;2282.6;2475.7;2355.0
HFVRP_1;2430.0;2415.0;31350.0;3129.0;2430.0;2407.0;2205.875;2433.0;2413.0;2407.0;3135.0
C1_2_4;2386.0;2172.0;2399.0;2371.0;2386.0;2479.2;2274.0;2258.0;2282.6;2475.0;2355.0
C1_6_1;12993.3;12034.0;46930.6;12928.6;12817.9;21230.5;12672.7;12134.0;12452.0;25246.0;12463.4
CVRP_p14;7700.0;7915.0;8110.0;7812.5;7700.0;8460.0;7800.0;8300.0;7757.5;8460.0;7820.0
C1_2_8;2386.0;2172.0;2399.4;2371.0;2386.0;2485.5;2274.0;2258.0;2282.9;2475.0;2355.0
CVRP_1;1682.0;1676.0;1666.0;1662.0;1682.0;1718.0;1659.0;1682.0;1647.0;1718.0;1664.0
HFVRP_p3;2997.0;2993.0;30670.0;3005.0;2997.0;3067.0;3035.0;3050.0;3010.0;3067.0;2972.0
HFVRP_p5;1348.0;1350.0;14250.0;1403.0;1348.0;1334.0;1337.0;1395.0;1335.0;1334.0;1375.0
C1_4_9;6429.0;6226.0;8078.0;6533.428571428572;6424.142857142857;8091.857142857143;6480.0;6334.0;6301.857142857143;8140.857142857143;6546.0
C1_2_7;2386.0;2172.0;2399.714285714286;2371.0;2386.0;2480.0;2274.0;2258.0;2282.0;2478.0;2355.0
C1_4_10;6424.0;6226.0;7150.714285714285;6534.0;6424.0;8034.0;6472.571428571428;6334.0;6299.0;8034.0;6546.0
C1_4_2;6424.0;6226.0;7167.285714285715;6533.0;6424.0;8034.0;6472.571428571428;6334.0;6299.0;8034.0;6533.142857142857
C1_4_5;6424.714285714285;6226.0;7826.142857142857;6534.714285714285;6424.142857142857;8295.42857142857;6472.571428571428;6334.0;6301.857142857143;8172.285714285715;6539.714285714285
C1_6_4;12819.166666666666;12018.166666666666;41327.666666666664;12918.0;12794.0;19879.333333333332;12625.0;12134.0;12521.0;22535.0;12443.0
C1_6_5;12794.0;12022.0;39694.833333333336;12918.0;12794.0;20114.0;12625.0;12134.0;12419.833333333334;23263.0;12443.0
C1_4_7;6424.0;6226.0;7352.333333333333;6533.5;6424.0;8034.0;6462.666666666667;6334.0;6302.333333333333;8034.0;6538.5
C1_4_3;6424.0;6226.0;7302.333333333333;6533.0;6424.0;8034.0;6462.666666666667;6334.0;6299.0;8034.0;6531.0
C1_2_3;2386.3333333333335;2172.0;2399.6666666666665;2371.0;2386.0;2480.8333333333335;2274.0;2258.0;2282.5;2475.0;2355.0
C1_4_6;6424.0;6226.0;7222.0;6532.5;6424.0;8034.0;6462.666666666667;6334.0;6299.0;8037.0;6538.5
C1_4_8;6424.0;6226.0;7133.0;6533.0;6424.0;8034.0;6480.0;6334.0;6299.0;8034.0;6546.0
C1_2_10;2386.0;2172.0;2399.3333333333335;2371.0;2386.0;2478.5;2274.0;2258.0;2282.0;2476.1666666666665;2355.0
C1_2_9;2386.0;2172.0;2399.0;2371.0;2386.0;2480.8333333333335;2274.0;2258.0;2282.0;2475.0;2355.0
C1_2_2;2386.0;2172.0;2399.0;2371.0;2386.0;2482.0;2274.0;2258.0;2282.0;2475.0;2355.0
