Instance;ALL_UNPERFORMED_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT
CVRP_3;693.3;719.4;715.8;702.0;705.6;722.1;684.5;708.3;696.8;693.2;707.1;696.8;699.5;707.1;702.0
p3;905.7777777777778;906.0;908.2222222222222;918.3333333333334;906.0;906.3333333333334;905.7777777777778;901.5555555555555;901.2222222222222;904.4444444444445;905.7777777777778;906.0;906.3333333333334;895.2222222222222;908.2222222222222
p1;703.5555555555555;701.7777777777778;702.4444444444445;706.0;706.7777777777778;701.6666666666666;694.2222222222222;706.6666666666666;698.4444444444445;699.1111111111111;697.5555555555555;698.4444444444445;698.3333333333334;697.5555555555555;708.4444444444445
CVRP_5;977.5;1013.9;977.5;986.8;1013.9;1013.9;977.5;1013.9;1013.9;977.5;977.5;1013.9;1013.9;977.5;977.5
p31;599.4444444444445;598.5555555555555;599.4444444444445;604.5555555555555;598.5555555555555;598.5555555555555;599.4444444444445;598.5555555555555;598.5555555555555;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;599.4444444444445;599.4444444444445
CVRP_2;727.4;715.9;718.6;729.4;724.7;715.9;727.8;724.7;725.1;727.8;718.6;725.1;725.1;718.6;727.4
CVRP_100;310.9;309.8;311.3;306.8;309.4;309.8;309.9;309.4;308.4;309.9;311.3;308.4;308.4;311.3;310.9
p2;732.7777777777778;713.2222222222222;716.3333333333334;712.8888888888889;724.4444444444445;707.4444444444445;743.7777777777778;718.6666666666666;735.0;733.0;721.5555555555555;735.0;733.1111111111111;722.0;722.4444444444445
CVRP_4;955.0;970.7;978.0;941.4;970.7;975.9;955.0;975.9;970.7;978.0;955.0;970.7;975.9;955.0;978.0
CVRP_1;718.9;719.4;718.9;729.3;719.4;719.4;718.9;719.4;719.4;718.9;718.9;719.4;719.4;718.9;718.9
