Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH
C1_4_1;7192.0;7342.0;7204.0;7027.0;7392.0;7219.0;7192.0;7185.0;7219.0;7252.0;7185.0;7074.0;7392.0;6801.0;7342.0
C1_2_7;2538.0;2538.0;2635.0;2428.0;2602.0;2635.0;2374.0;2350.0;2546.0;2350.0;2591.0;2374.0;2532.0;2602.0;2428.0
C1_4_10;7176.0;7333.0;7264.0;7342.0;7257.0;7333.0;7241.0;7153.0;7424.0;7215.0;7350.0;7041.0;7104.0;7328.0;6954.0
C1_4_2;7823.0;7402.0;7818.0;7191.0;7924.0;7617.0;7145.0;7808.0;7852.0;7548.0;7648.0;7440.0;7616.0;7845.0;7661.0
C1_4_9;7340.0;7247.0;7305.0;7322.0;7571.0;7440.0;7254.0;7389.0;7349.0;7240.0;7554.0;7552.0;7097.0;7361.0;7394.0
C1_2_5;2732.0;2824.0;2824.0;2824.0;2732.0;2732.0;2824.0;2824.0;2824.0;2732.0;2732.0;2732.0;2824.0;2824.0;2732.0
C1_2_4;2390.0;2504.0;2573.0;2608.0;2673.0;2684.0;2537.0;2450.0;2481.0;2587.0;2597.0;2687.0;2608.0;2733.0;2519.0
C1_2_8;2793.0;2487.0;2487.0;2334.0;2793.0;2793.0;2487.0;2487.0;2487.0;2793.0;2793.0;2409.0;2487.0;2586.0;2793.0
C1_4_5;7430.0;7430.0;7430.0;7347.0;7430.0;7430.0;7430.0;7430.0;7430.0;7430.0;7430.0;7430.0;7430.0;7430.0;7430.0
C1_6_1;14334.3;14362.7;14406.3;14465.9;14066.4;14036.2;14268.4;14326.5;14315.2;14264.5;14434.6;14500.6;14312.3;14206.6;14280.3
C1_2_3;2592.0;2554.0;2756.0;2654.0;2631.0;2708.0;2618.0;2654.0;2611.0;2660.0;2814.0;2708.0;2585.0;2554.0;2603.0
C1_6_3;14974.4;15182.1;15312.6;14599.4;14809.2;15063.7;15256.5;15366.5;14922.5;14857.7;15250.8;15149.5;15172.6;15153.4;15086.5
C1_2_10;2789.0;2528.0;2553.0;2465.0;2622.0;2565.0;2426.0;2612.0;2408.0;2388.0;2510.0;2553.0;2617.0;2376.0;2381.0
C1_2_9;2754.0;2485.0;2430.0;2544.0;2485.0;2776.0;2776.0;2731.0;2535.0;2760.0;2501.0;2567.0;2424.0;2364.0;2731.0
C1_2_6;2642.0;2363.0;2719.0;2434.0;2642.0;2412.0;2852.0;2592.0;2363.0;2811.0;2412.0;2763.0;2592.0;2846.0;2674.0
C1_4_6;7663.0;7445.0;7935.0;8009.0;7871.0;7362.0;7637.0;7784.0;7140.0;7532.0;7492.0;7657.0;7696.0;7474.0;8191.0
C1_4_4;7354.0;7183.9;7227.0;7466.0;7328.3;7172.5;7239.5;7399.9;7443.8;7058.0;7360.6;7214.0;7221.8;7217.0;7122.7
C1_2_2;2684.0;2780.0;2588.0;2552.0;2740.0;2516.0;2777.0;2580.0;2652.0;2532.0;2648.0;2563.0;2536.0;2664.0;2489.0
C1_6_5;14891.6;14663.1;15061.9;14869.8;14759.9;14832.2;14644.5;14937.5;14651.3;14758.4;14827.7;14813.5;14899.0;14914.0;14787.4
C1_2_1;3026.0;2480.0;2671.0;2404.0;2667.0;3026.0;2777.0;2671.0;2696.0;2667.0;2499.0;3032.0;2480.0;2777.0;3032.0
C1_4_3;7595.0;7517.0;7698.0;7270.0;7747.0;7832.0;7512.0;7409.0;7462.0;7450.0;7875.0;7486.0;7831.0;7573.0;7492.0
C1_6_2;15435.5;15509.2;15438.3;15355.3;15267.9;15258.0;15122.4;15153.3;15058.9;15143.4;15316.9;15462.1;15298.0;15540.5;15471.6
C1_4_7;7670.0;7615.0;7354.0;7459.0;7338.0;7969.0;7681.0;7470.0;7584.0;7456.0;7344.0;7433.0;7385.0;7893.0;7510.0
C1_6_4;14029.6;14004.7;13815.5;13779.1;13934.1;13870.4;14116.7;13997.0;13868.5;13914.2;13873.5;13841.3;13864.8;13958.3;13812.5
C1_4_8;8030.0;7587.0;7563.0;7380.0;7191.0;7433.0;7376.0;7640.0;7843.0;7484.0;7523.0;7318.0;7312.0;7405.0;7462.0
