Instance;SAVINGS_and_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;4510.0;4510.0;4510.0;4510.0;4510.0
C1_4_9;7245.0;7245.0;7245.0;7245.0;7245.0
C1_6_4;14328.8;14348.9;14264.4;14314.0;14332.6
C1_6_5;14299.4;14362.0;14292.9;14342.1;14194.2
C1_2_7;2793.0;2793.0;2793.0;2793.0;2793.0
C1_4_10;7245.0;7245.0;7245.0;7245.0;7245.0
HFVRP_p14;9541.9;9400.6;9368.0;9537.6;9423.1
C1_2_6;2793.0;2793.0;2793.0;2793.0;2793.0
CVRP_p5;4581.0;4581.0;4581.0;4581.0;4581.0
CVRP_4;3948.0;3948.0;3948.0;3948.0;3948.0
C1_4_7;7245.0;7245.0;7245.0;7256.4;7255.2
C1_4_1;7245.0;7245.0;7245.0;7245.0;7245.0
C1_6_3;14292.0;14339.4;14188.0;14254.2;14273.2
C1_2_1;2793.0;2793.0;2793.0;2793.0;2793.0
CVRP_p3;4172.0;4172.0;4172.0;4172.0;4172.0
C1_6_2;14252.1;14296.6;14220.4;14362.2;14331.3
C1_4_4;7258.6;7249.2;7256.4;7255.6;7258.5
C1_2_5;2793.0;2793.0;2793.0;2793.0;2793.0
C1_4_3;7245.0;7245.0;7248.3;7245.0;7245.0
HFVRP_1;3241.0;3241.0;3241.0;3241.0;3241.0
C1_4_2;7245.0;7245.0;7245.0;7245.0;7245.0
C1_2_3;2793.0;2793.0;2793.0;2793.0;2793.0
C1_4_6;7245.0;7245.0;7245.0;7245.0;7245.0
C1_4_8;7245.0;7245.0;7245.0;7245.0;7245.0
C1_2_10;2793.0;2793.0;2793.0;2793.0;2793.0
C1_2_4;2793.0;2793.0;2793.0;2793.0;2793.0
C1_6_1;14326.6;14319.1;14253.5;14355.8;14321.6
CVRP_p14;9561.8;9532.2;9356.1;9382.6;9536.6
C1_2_8;2793.0;2793.0;2793.0;2793.0;2793.0
C1_2_9;2793.0;2793.0;2793.0;2793.0;2793.0
C1_2_2;2793.0;2793.0;2793.0;2793.0;2793.0
CVRP_1;2152.0;2152.0;2152.0;2152.0;2152.0
HFVRP_p3;4048.0;4048.0;4048.0;4048.0;4048.0
C1_4_5;7245.0;7245.0;7245.0;7245.0;7245.0
HFVRP_p5;1520.0;1520.0;1520.0;1520.0;1520.0
