Instance;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
HFVRP_4;74671.4;74757.9;74276.4;74740.2;976710.0;73601.2;75044.0;75009.6;75070.6;74225.1;73394.0
C1_4_9;554102.4;664052.3;540618.6;679567.4;1258004.7;556051.8;556051.8;553815.0;561015.0;566311.0;540224.0
C1_6_4;1243168.875;1640982.75;1180572.375;1809538.875;4573892.25;1193226.625;1181845.625;1185232.375;1184503.75;1165842.125;1155853.0
C1_6_5;1231074.25;1537458.625;1176351.75;1657803.875;3886208.0;1183005.25;1176780.875;1185105.25;1185319.75;1165793.375;1155853.0
C1_2_7;227862.0;231163.0;216108.0;231163.0;253825.3;221230.4;221226.5;219793.4;226614.0;229612.0;217882.0
C1_4_10;553636.0;678865.6;540646.5;702430.0;1107130.4;556056.6;556051.8;553815.0;561084.8;566458.1;540224.0
HFVRP_p14;317792.6;321495.2;290717.0;321614.3;3245220.0;303114.3;313303.5;317485.1;306140.7;322236.9;313571.0
C1_2_6;227862.0;231163.0;216108.0;231163.0;253735.625;221220.0;221215.66666666666;219458.11111111112;222952.0;229612.0;217882.0
CVRP_p5;68965.0;68576.5;67809.2;68712.4;760500.0;68157.1;68425.8;67909.6;68211.0;70588.5;68584.6
CVRP_4;180031.8;181714.6;178758.0;182969.0;1942240.0;177982.0;177982.0;179747.9;178834.0;181583.9;179479.0
C1_4_7;553636.0;666049.5;540581.75;673269.5;976615.0;556053.0;556047.0;553815.0;561030.875;566456.25;540224.0
C1_4_1;553636.0;663747.4;540649.4;689877.1;1029273.3;556056.6;556051.8;553815.0;561021.3;566255.7;540224.0
C1_6_3;1220109.5;1485172.7;1174625.8;1620088.4;3622580.8;1177169.9;1175217.2;1185743.9;1186412.5;1166322.9;1155907.1
C1_2_1;227862.0;231163.0;216108.0;231163.0;253287.25;221207.0;221207.0;218967.0;221537.625;229612.0;217882.0
CVRP_p3;78153.4;76631.0;77849.2;76613.6;76793.4;75776.0;75776.0;75661.8;77369.3;78770.0;77007.9
C1_6_2;1221483.5;1578504.25;1180238.625;1719152.875;4201388.375;1179690.2857142857;1177924.375;1186310.125;1185811.875;1166246.125;1155920.625
C1_4_4;553636.0;658917.125;540618.0;660248.25;954151.375;556047.0;556047.0;553815.0;560987.25;566041.25;540224.0
CVRP_100;26205.0;26205.0;26205.0;26205.0;26205.0;26205.0;26205.0;26205.0;26205.0;26205.0;26205.0
C1_2_5;227862.0;231163.0;216108.0;231163.0;253466.6;221214.8;221214.8;219793.4;225297.3;229612.0;217882.0
C1_4_3;553636.0;668807.625;540582.5;672253.0;1060795.0;556053.0;556053.0;553815.0;561074.5;566328.875;540224.0
HFVRP_1;59220.0;59239.2;59170.8;59227.8;705250.0;59056.0;59056.0;59220.0;59056.0;59170.8;59252.4
C1_4_2;553636.0;688029.0;540565.7;675544.7;1000234.0;556047.0;556047.0;553815.0;561015.0;566477.0;540224.0
C1_2_3;227862.0;231163.0;216108.0;231163.0;253099.6;221214.8;221214.8;219380.2;225014.1;229612.0;217882.0
C1_4_6;553927.5;670159.5;540612.125;672050.0;1019227.5;556053.0;556053.0;553981.875;561074.5;566443.625;540224.0
C1_4_8;553636.0;658079.5;540693.5;660713.25;997018.5;556047.0;556047.0;553815.0;561013.0;566352.5;540224.0
C1_2_10;227862.0;231163.0;216108.0;231163.0;252589.77777777778;221207.0;221207.0;218967.0;219230.1;229612.0;217882.0
C1_2_4;227862.0;231163.0;216108.0;231163.0;253107.9;221210.9;221210.9;222374.1;224852.2;229612.0;217882.0
C1_6_1;1233233.8;1553317.4;1183055.1;1720209.5;4394788.9;1190415.1;1182332.8;1187103.7777777778;1187634.0;1169134.0;1156015.3
CVRP_p14;314706.7;353711.5;317505.0;353711.5;332009.4;309926.2;307654.5;303603.2;309274.4;305473.5;342921.0
C1_2_8;227862.0;231163.0;216108.0;231163.0;253466.6;221222.6;221222.6;219380.2;223461.6;229612.0;217882.0
C1_2_9;227862.0;231163.0;216108.0;231163.0;252589.77777777778;221220.0;221220.0;218981.44444444444;222155.77777777778;229612.0;217882.0
C1_2_2;227862.0;231163.0;216108.0;231163.0;253287.25;221207.0;221207.0;219483.5;221948.375;229612.0;217882.0
CVRP_1;79986.4;80714.6;79232.5;80769.4;78704.1;79005.7;78985.6;78997.0;78990.0;78568.5;78524.6
HFVRP_p3;75679.1;76016.0;75052.0;76016.0;852510.0;74464.7;74480.2;74819.4;74993.4;76330.5;74303.9
C1_4_5;553636.0;674047.8;540633.3;694537.8;1120557.3;556056.6;556056.6;553815.0;561070.5;566292.1;540224.0
HFVRP_p5;73753.7;77692.0;74418.8;77733.4;858580.0;75534.0;75571.9;73919.9;74066.5;74140.8;75827.3
CVRP_3;7770.0;7770.0;7770.0;7770.0;7770.0;7770.0;7770.0;777.0;777.0;777.0;777.0
