Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
att48;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0
pr76;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0
pr107;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0
st70;56365.0;55630.0;56365.0;55630.0;55630.0;55630.0;56365.0;55630.0;55630.0;56365.0;55630.0;56365.0;56365.0;56365.0;56365.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0
pr124;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0
d493;374356.8;374575.8;370842.4;372980.8;372671.1;372194.2;375302.8;370747.7;369534.8;368883.1;369973.6;372244.6;372860.4;369869.4;373688.6
ulysses16;6858.0;6840.0;6840.0;6840.0;6784.0;6784.0;6858.0;6858.0;6858.0;6840.0;6858.0;6784.0;6784.0;6784.0;6840.0
dsj1000;536574.8;537415.7;538039.5;534575.6;539220.9;536702.7;539225.7;531339.4;539306.2;538590.6;536618.7;536395.5;538603.9;525467.8;536189.1
u724;440545.1;439993.5;430644.6;438834.1;440820.1;438335.4;439083.5;436437.3;441602.2;441245.1;434546.2;443248.2;432217.4;425147.4;429655.6
ch150;197462.0;199427.0;197462.0;203554.0;203554.0;199427.0;202608.0;203554.0;203554.0;202608.0;199427.0;197462.0;202608.0;197462.0;202608.0
d657;427759.7;429816.3;424971.8;430786.6;429825.0;426436.8;428073.3;426890.7;428687.2;429940.2;431503.5;428946.8;428804.6;428655.9;430175.3
