Instance;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT
CVRP_3;24.48124294281006;24.810076808929445;24.464381456375122;24.396478796005248;24.41806275844574;24.920103549957275;24.569493579864503;24.873139095306396;24.48240010738373;24.82643039226532;24.94068624973297;24.906101083755495;24.81096966266632;24.36204104423523;25.408952379226683
p3;60.000996708869934;60.00106678009033;59.999145007133485;59.99928901195526;60.00025467872619;60.00051283836365;60.00015249252319;60.00054390430451;60.000658941268924;60.00068099498749;60.00096321105957;60.00076520442963;60.001427340507504;59.999965405464174;60.001506543159486
p1;21.3448814868927;22.611840987205504;21.550007939338684;21.795257377624512;21.37605357170105;24.12573606967926;21.387923002243042;21.822246193885803;22.44676113128662;21.399574279785156;21.33046736717224;21.604485630989075;21.67601020336151;21.244873905181883;22.079215025901796
CVRP_5;60.000045251846316;60.00083150863647;60.00040738582611;60.00074598789215;60.001762771606444;60.000755834579465;60.000728487968445;59.99943423271179;60.00051457881928;59.9998494386673;60.00084784030914;59.999966216087344;60.000463938713075;60.00116918087006;60.00066957473755
p31;0.04323921203613281;0.051441001892089847;0.043132662773132324;0.04387753009796143;0.04435243606567383;0.05361826419830322;0.043440842628479005;0.0469956636428833;0.04340922832489014;0.05088050365447998;0.049411559104919435;0.04599382877349854;0.04966251850128174;0.04414424896240234;0.03725168704986572
CVRP_2;17.63629035949707;18.699806475639342;16.543362402915953;16.437289214134218;17.517942094802855;19.60105526447296;16.342317247390746;18.423851132392883;16.784315443038942;18.208605575561524;18.475087451934815;18.59928207397461;19.611539697647096;16.514136600494385;17.10910909175873
CVRP_100;0.10591585636138916;0.11229209899902344;0.10887556076049805;0.10937752723693847;0.11119744777679444;0.1154529333114624;0.10640616416931152;0.11563220024108886;0.10622141361236573;0.11322131156921386;0.11617586612701417;0.11306521892547608;0.11387698650360108;0.10750811100006104;0.08825550079345704
p2;22.772574138641357;17.72879841327667;22.46901936531067;22.749778389930725;22.407124304771422;17.265378093719484;22.850889730453492;17.39559910297394;23.184156489372253;18.129113245010377;17.345347738265993;17.813385081291198;18.312173986434935;23.151403188705444;22.658942818641663
CVRP_4;60.00099580287933;59.9998797416687;60.000785160064694;60.00045862197876;60.00090930461884;60.00060241222381;60.000122570991515;59.99986190795899;59.99946026802063;60.00105257034302;60.0005363702774;60.00131437778473;60.00077044963837;60.00175263881683;60.000740599632266
CVRP_1;16.020152735710145;21.486952686309813;18.12577576637268;16.008436179161073;18.26629321575165;22.058323407173155;17.72484095096588;23.50125207901001;16.81272542476654;22.13230619430542;23.615133619308473;21.27901542186737;22.029179859161378;16.820349669456483;18.766518664360046
