Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
att48;42594.0;43218.0;42594.0;42594.0;43218.0;42594.0;43218.0;43218.0;42594.0;43218.0;43218.0;42594.0;43218.0;42594.0;42594.0
pr76;136538.0;139996.0;136538.0;137166.0;138238.0;137166.0;138238.0;138238.0;138238.0;139996.0;139996.0;136538.0;139996.0;136538.0;137166.0
pr107;50700.0;53300.0;50700.0;55400.0;51300.0;55400.0;51300.0;51300.0;54000.0;53300.0;53300.0;50700.0;53300.0;50700.0;55400.0
st70;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;890.0;872.0;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0
rd100;10475.0;10280.0;10475.0;10475.0;10280.0;10475.0;10280.0;10280.0;10942.0;10280.0;10280.0;10475.0;10280.0;10475.0;10475.0
pr124;76148.0;76148.0;69560.0;76148.0;76148.0;73710.0;69560.0;73710.0;69790.0;76148.0;73710.0;70460.0;69560.0;73710.0;69560.0
d493;45111.0;45111.0;45111.0;45111.0;45111.0;45111.0;45111.0;45111.0;44743.0;45111.0;45111.0;45111.0;45111.0;45111.0;45111.0
ulysses16;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;80.0;80.0;80.0
dsj1000;26342253.6;26329865.0;26380637.2;26283969.4;26279020.4;26395019.0;25992918.4;26108823.8;26116427.0;25869632.4;26323640.0;26431635.0;26205425.0;26170063.2;26202683.4
u724;53970.6;54269.2;54161.6;53960.3;54272.3;54309.5;54050.5;54115.5;54376.0;54098.0;54117.9;53938.0;54168.7;54055.6;54016.8
ch150;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8665.0;8785.0;8785.0;8560.0;8785.0;8785.0;8785.0
d657;64154.0;64409.0;63900.3;64255.8;64305.3;64241.4;64603.7;64138.4;64374.6;64305.3;64084.4;64275.6;64507.3;64283.3;63958.9
