Instance;EVALUATOR_STRATEGY_and_TABU_SEARCH;BEST_INSERTION_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
C1_4_1;10549.6;10366.2;10450.6;10668.2;10398.8
C1_2_7;4080.0;4216.0;4300.0;3988.0;4160.0
C1_4_10;10374.4;10382.6;10552.2;10427.4;10314.8
C1_4_2;10678.4;10384.8;10965.6;10820.2;10966.0
C1_4_9;9997.2;10304.2;10087.4;10563.4;10221.6
C1_2_5;4224.0;4300.0;4266.0;4350.0;4236.0
C1_2_4;4086.0;4070.0;3896.0;4024.0;4018.0
C1_2_8;4332.0;4244.0;4298.0;4128.0;4236.0
C1_4_5;10599.0;10817.8;10532.4;11186.4;10694.8
C1_6_1;23606.8;23740.4;22930.4;24303.6;23642.6
C1_2_3;4144.0;4360.0;4194.0;4428.0;4308.0
C1_6_3;24579.4;23505.4;23785.6;23275.8;23444.4
C1_2_10;4210.0;3868.0;3974.0;4130.0;3826.0
C1_2_9;4008.0;4114.0;4230.0;4114.0;4230.0
C1_2_6;4070.0;4070.0;4070.0;4070.0;4070.0
C1_4_6;10952.6;11026.6;10846.2;10987.2;10886.8
C1_4_4;10300.0;10323.2;10284.8;10380.4;10190.6
C1_2_2;4092.0;4364.0;4240.0;4194.0;4318.0
C1_6_5;24221.8;24879.6;24302.2;23968.8;24446.8
C1_2_1;3844.0;3844.0;4270.0;3844.0;4270.0
C1_4_3;10696.2;10642.8;10526.2;10822.2;11013.6
C1_6_2;25099.2;26759.4;25205.0;26170.6;24317.4
C1_4_7;10851.8;10765.8;10527.2;10634.0;10891.8
C1_6_4;22197.2;21319.8;21665.0;21290.2;21437.8
C1_4_8;10828.4;10675.4;11212.8;10632.6;10687.0
