Instance;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH
p3;958.9411764705883;1037.5294117647059;974.3529411764706;960.7058823529412;1024.1176470588234
p6;996.0;996.0;996.0;942.0;996.0
p19;2278.0;2278.0;2244.0;2314.0;2278.0
p5;886.0;878.0;886.0;870.0;885.4
p1;822.0;826.2352941176471;834.7058823529412;806.1176470588235;824.8235294117648
p31;828.5294117647059;828.5294117647059;827.3529411764706;828.5294117647059;828.5294117647059
p15;1216.0;1134.0;1228.0;1348.0;1270.0
p2;807.25;812.625;813.375;782.875;806.25
att48;42594.0;42594.0;43218.0;43828.0;42594.0
pr76;136538.0;136538.0;138238.0;139356.0;136538.0
pr107;50700.0;50500.0;51300.0;54900.0;50700.0
st70;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0
rd100;10475.0;10475.0;10280.0;10324.0;10475.0
pr124;69560.0;69260.0;69560.0;72310.0;73710.0
d493;44964.0;45466.0;44628.0;45251.0;45111.0
ulysses16;80.0;81.0;80.0;83.0;80.0
dsj1000;25754324.2;26492583.8;26204568.0;24529494.2;26170063.2
u724;54010.5;54448.0;54266.0;54091.0;54055.6
ch150;8785.0;8683.0;8785.0;8229.0;8785.0
d657;63900.3;64142.3;64521.8;64239.0;64283.3
C1_4_1;9843.7;9865.6;9864.8;10212.8;9996.7
C1_2_7;4246.0;4036.0;3909.0;4092.0;4113.0
C1_4_10;9714.9;9852.4;9777.2;9812.7;9780.7
C1_4_2;10185.6;10072.0;9929.2;10217.9;10048.8
C1_4_9;9731.9;9726.3;9588.6;9776.1;9649.8
C1_2_5;4059.0;4257.0;3981.0;4141.0;4119.0
C1_2_4;3966.0;3979.0;3912.0;4026.0;4007.0
C1_2_8;4112.0;4042.0;4035.0;4061.0;4107.0
C1_4_5;9825.5;9645.7;9889.5;10006.8;10115.6
C1_6_1;21755.6;22236.2;21233.4;22603.1;21912.9
C1_2_3;4174.0;4108.0;3941.0;4096.0;4060.0
C1_6_3;21774.9;21367.3;21719.7;21287.8;21434.6
C1_2_10;4174.0;3928.0;3974.0;4158.0;3950.0
C1_2_9;4078.0;4104.0;3873.0;4038.0;4078.0
C1_2_6;3998.0;4011.0;3904.0;3986.0;3998.0
C1_4_6;10158.0;10380.8;10066.3;10111.2;10165.4
C1_4_4;9764.0;9630.9;9740.0;9678.3;9766.6
C1_2_2;4021.0;4194.0;3915.0;4266.0;4328.0
C1_6_5;21305.9;21609.7;21540.9;21519.8;21547.2
C1_2_1;4098.0;4068.0;3791.0;4080.0;4098.0
C1_4_3;9874.2;9960.1;9938.1;9913.9;9955.5
C1_6_2;23386.8;21880.5;21979.6;22759.2;22692.1
C1_4_7;9985.0;9837.2;10015.9;9890.3;9910.6
C1_6_4;20251.5;20228.4;20528.6;20374.9;20120.5
C1_4_8;10011.7;9951.0;10004.2;9972.4;10044.8
HFVRP_4;5164.0;5152.0;5236.0;5086.0;5164.0
HFVRP_p14;12700.0;12800.0;12860.0;12680.0;12700.0
CVRP_p5;6324.0;6368.0;6352.0;6394.0;6402.0
CVRP_4;3469.4;3477.2;3450.5;3450.9;3447.7
CVRP_p3;5726.0;5768.0;5726.0;5770.0;5778.0
HFVRP_1;3676.0;3676.0;3698.0;3702.0;3676.0
CVRP_p14;12680.0;12760.0;12580.0;13180.0;12680.0
CVRP_1;2025.9;2013.5;2033.3;2027.6;2024.6
HFVRP_p3;5656.0;5612.0;5634.0;5614.0;5632.0
HFVRP_p5;2008.0;1992.0;1938.0;1986.0;2008.0
CVRP_3;1009.8;1010.2;1023.8;985.6;990.0
CVRP_5;1355.8;1355.6;1360.6;1354.8;1355.4
CVRP_2;991.0;1001.6;980.8;1031.8;1002.6
CVRP_100;417.0;415.6;420.8;419.4;414.8
